Estado - Sigla;Municipio;Revenda;Nome da Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
SP;CAMPINAS;CENTRO AUTOMOTIVO PORTAL DAS AMOREIRAS LTDA;AVENIDA DAS AMOREIRAS;JARDIM DO LAGO;13050-035;ETANOL;05/01/2021;3,199;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;COMERCIAL DE COMBUSTIVEIS GUARANI US LTDA.;AVENIDA PRINCESA D OESTE;VILA LEMOS;13100-040;GASOLINA;13/01/2021;4,397;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;COMERCIAL DE COMBUSTIVEIS GUARANI US LTDA.;AVENIDA PRINCESA D OESTE;VILA LEMOS;13100-040;ETANOL;13/01/2021;3,097;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;POSTO KADAR COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA ANTONIO CARLOS COUTO DE BARROS;VILA SONIA (SOUSAS);13105-500;GASOLINA;13/01/2021;4,397;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;POSTO KADAR COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA ANTONIO CARLOS COUTO DE BARROS;VILA SONIA (SOUSAS);13105-500;ETANOL;13/01/2021;3,197;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;D. PEDRO PARKING POSTO LTDA;RODOVIA : DOM PEDRO I;JD.APARECIDA;13024-500;GASOLINA;13/01/2021;4,079;R$ / litro;BRANCA
SP;CAMPINAS;D. PEDRO PARKING POSTO LTDA;RODOVIA : DOM PEDRO I;JD.APARECIDA;13024-500;ETANOL;13/01/2021;2,879;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO JARDIM SANTA MONICA LTDA;RUA SYLVIA DA SILVA BRAGA;JARDIM SANTA MONICA;13082-105;GASOLINA;13/01/2021;4,377;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO JARDIM SANTA MONICA LTDA;RUA SYLVIA DA SILVA BRAGA;JARDIM SANTA MONICA;13082-105;ETANOL;13/01/2021;2,977;R$ / litro;RAIZEN
SP;CAMPINAS;COMERCIO DE COMBUSTIVEIS PRIMAVERA LTDA;RUA MIOSOTIS;CHACARA PRIMAVERA;13087-480;GASOLINA;13/01/2021;4,399;R$ / litro;RAIZEN
SP;CAMPINAS;COMERCIO DE COMBUSTIVEIS PRIMAVERA LTDA;RUA MIOSOTIS;CHACARA PRIMAVERA;13087-480;ETANOL;13/01/2021;3,099;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO AVENIDA SOUSAS LTDA;AVENIDA ANTONIO CARLOS COUTO DE BARROS;JARDIM CONCEICAO (SOUSAS);13105-000;GASOLINA;13/01/2021;4,397;R$ / litro;RAIZEN
